nm,W/sm/nm,W/sm
741.0,1.259,932.9189999999999
743.0,1.287,956.241
745.0,1.28,953.6
747.0,1.284,959.148
749.0,1.271,951.9789999999999
751.0,1.263,948.5129999999999
753.0,1.26,948.78
755.0,1.256,948.28
757.0,1.249,945.493
759.0,1.241,941.9190000000001
761.0,1.238,942.1179999999999
763.0,1.242,947.646
765.0,1.222,934.8299999999999
767.0,1.186,909.6619999999999
769.0,1.204,925.876
771.0,1.205,929.0550000000001
773.0,1.209,934.557
775.0,1.189,921.475
777.0,1.197,930.0690000000001
779.0,1.188,925.452
781.0,1.188,927.828
783.0,1.177,921.591
785.0,1.181,927.085
787.0,1.178,927.0859999999999
789.0,1.175,927.075
791.0,1.159,916.769
793.0,1.144,907.1919999999999
795.0,1.135,902.325
797.0,1.153,918.941
799.0,1.136,907.6639999999999
801.0,1.143,915.543
803.0,1.13,907.3899999999999
805.0,1.116,898.3800000000001
807.0,1.121,904.647
809.0,1.096,886.6640000000001
811.0,1.115,904.265
813.0,1.116,907.3080000000001
815.0,1.108,903.0200000000001
817.0,1.105,902.785
819.0,1.065,872.2349999999999
821.0,1.081,887.501
823.0,1.074,883.902
825.0,1.076,887.7
827.0,1.077,890.679
829.0,1.073,889.5169999999999
831.0,1.069,888.3389999999999
833.0,1.034,861.322
835.0,1.053,879.255
837.0,1.052,880.524
839.0,1.042,874.238
841.0,1.045,878.8449999999999
843.0,1.028,866.604
845.0,1.033,872.8849999999999
847.0,1.025,868.175
849.0,0.9706,824.0394
851.0,1.003,853.5529999999999
853.0,0.9726,829.6278
855.0,0.8768,749.664
857.0,1.011,866.4269999999999
859.0,0.9966,856.0794000000001
861.0,0.9966,858.0726000000001
863.0,0.9986,861.7918000000001
865.0,0.9696,838.7040000000001
867.0,0.8798,762.7866
869.0,0.9666,839.9754
871.0,0.9861,858.8931
873.0,0.9784,854.1432000000001
875.0,0.9814,858.725
877.0,0.9835,862.5295
879.0,0.9591,843.0489
881.0,0.9605,846.2005
883.0,0.9484,837.4372
885.0,0.9629,852.1664999999999
887.0,0.9474,840.3438
889.0,0.949,843.661
891.0,0.9441,841.1931000000001
893.0,0.9338,833.8833999999999
895.0,0.9355,837.2725
897.0,0.939,842.2829999999999
899.0,0.9118,819.7082
901.0,0.9048,815.2248000000001
903.0,0.9049,817.1247000000001
905.0,0.8927,807.8935
907.0,0.8906,807.7742
909.0,0.8613,782.9217
911.0,0.8703,792.8433
913.0,0.8763,800.0618999999999
915.0,0.8662,792.573
917.0,0.8591,787.7946999999999
919.0,0.858,788.502
921.0,0.8302,764.6142000000001
923.0,0.8213,758.0599000000001
925.0,0.8253,763.4025
927.0,0.8284,767.9268000000001
929.0,0.8325,773.3925
931.0,0.8258,768.8198
933.0,0.832,776.256
935.0,0.8177,764.5495
937.0,0.8016,751.0992
939.0,0.808,758.7120000000001
941.0,0.8,752.8000000000001
943.0,0.7842,739.5006
945.0,0.7988,754.866
947.0,0.793,750.971
949.0,0.7768,737.1832
951.0,0.7782,740.0682
953.0,0.771,734.763
955.0,0.76,725.8
957.0,0.7735,740.2395
959.0,0.7707,739.1013
961.0,0.7671,737.1831
963.0,0.7666,738.2357999999999
965.0,0.7643,737.5495
967.0,0.7574,732.4058
969.0,0.776,751.9440000000001
971.0,0.7627,740.5817000000001
973.0,0.7642,743.5666
975.0,0.7503,731.5425
977.0,0.7679,750.2383
979.0,0.7682,752.0678
981.0,0.7618,747.3258000000001
983.0,0.7665,753.4694999999999
985.0,0.7713,759.7305
987.0,0.7558,745.9746
989.0,0.7666,758.1673999999999
991.0,0.7636,756.7275999999999
993.0,0.7546,749.3178
995.0,0.7563,752.5185
997.0,0.743,740.771
999.0,0.7434,742.6565999999999
1002.5,0.745,746.8625
1007.5,0.7368,742.326
1012.5,0.7336,742.77
1017.5,0.7209,733.51575
1022.5,0.7035,719.32875
1027.5,0.7078,727.2645
1032.5,0.6881,710.46325
1037.5,0.6916,717.535
1042.5,0.681,709.9425
1047.5,0.6848,717.328
1052.5,0.6607,695.38675
1057.5,0.6496,686.952
1062.5,0.6419,682.0187500000001
1067.5,0.6429,686.29575
1072.5,0.638,684.255
1077.5,0.6303,679.14825
1082.5,0.6205,671.6912500000001
1087.5,0.6137,667.3987500000001
1092.5,0.6118,668.3915000000001
1097.5,0.599,657.4024999999999
1102.5,0.6082,670.5405
1107.5,0.6013,665.9397499999999
1112.5,0.6025,670.28125
1117.5,0.5887,657.87225
1122.5,0.5788,649.703
1127.5,0.569,641.5474999999999
1132.5,0.5661,641.10825
1137.5,0.5633,640.7537500000001
1142.5,0.5574,636.8295
1147.5,0.5556,637.5509999999999
1152.5,0.5447,627.76675
1157.5,0.5539,641.13925
1162.5,0.54,627.75
1167.5,0.5301,618.89175
1172.5,0.5333,625.29425
1177.5,0.5254,618.6585
1182.5,0.5145,608.3962499999999
1187.5,0.5117,607.6437500000001
1192.5,0.5113,609.72525
1197.5,0.5018,600.9055000000001
1202.5,0.4963,596.80075
1207.5,0.4939,596.38425
1212.5,0.4894,593.3975
1217.5,0.5001,608.87175
1222.5,0.4814,588.5115
1227.5,0.4809,590.30475
1232.5,0.4835,595.9137499999999
1237.5,0.4772,590.535
1242.5,0.4771,592.79675
1247.5,0.4655,580.7112500000001
1252.5,0.4737,593.30925
1257.5,0.4634,582.7255
1262.5,0.4438,560.2975
1267.5,0.4376,554.658
1272.5,0.4386,558.1185
1277.5,0.4529,578.57975
1282.5,0.4354,558.4005
1287.5,0.4374,563.1525
1292.5,0.4425,571.93125
1297.5,0.4383,568.69425
1302.5,0.4381,570.6252499999999
1307.5,0.4286,560.3945
1312.5,0.419,549.9375
1317.5,0.4156,547.553
1322.5,0.4164,550.689
1327.5,0.411,545.6025
1332.5,0.4045,538.99625
1337.5,0.4001,535.13375
1342.5,0.3978,534.0465
1347.5,0.3945,531.58875
1352.5,0.387,523.4175
1357.5,0.3817,518.15775
1362.5,0.3783,515.43375
1367.5,0.3699,505.83825
1372.5,0.3686,505.90349999999995
1377.5,0.3684,507.471
1382.5,0.364,503.22999999999996
1387.5,0.3638,504.77250000000004
1392.5,0.3584,499.072
1397.5,0.3572,499.187
1402.5,0.3528,494.802
1407.5,0.3496,492.062
1412.5,0.3463,489.14875
1417.5,0.344,487.61999999999995
1422.5,0.3427,487.49075
1427.5,0.3475,496.05625
1432.5,0.3372,483.039
1437.5,0.3309,475.66875000000005
1442.5,0.3266,471.1205
1447.5,0.3184,460.884
1452.5,0.3231,469.30275
1457.5,0.3069,447.30675
1462.5,0.3166,463.0275
1467.5,0.3114,456.97950000000003
1472.5,0.3112,458.24199999999996
1477.5,0.3069,453.44475
1482.5,0.3027,448.75275000000005
1487.5,0.2985,444.01874999999995
1492.5,0.3033,452.67525
1497.5,0.3,449.25
1502.5,0.2958,444.4395
1507.5,0.2946,444.10949999999997
1512.5,0.2904,439.22999999999996
1517.5,0.2902,440.37850000000003
1522.5,0.286,435.43499999999995
1527.5,0.2897,442.51675
1532.5,0.2816,431.552
1537.5,0.2745,422.04375000000005
1542.5,0.2752,424.496
1547.5,0.274,424.01500000000004
1552.5,0.2728,423.522
1557.5,0.2716,423.017
1562.5,0.2695,421.09375
1567.5,0.2633,412.72274999999996
1572.5,0.2602,409.1645
1577.5,0.259,408.5725
1582.5,0.2549,403.37925
1587.5,0.2517,399.57374999999996
1592.5,0.2456,391.118
1597.5,0.2464,393.624
1602.5,0.2473,396.29825
1607.5,0.2424,389.658
1612.5,0.2444,394.095
1617.5,0.2434,393.6995
1622.5,0.2404,390.049
1627.5,0.2443,397.59825
1632.5,0.2414,394.0855
1637.5,0.2375,388.90625
1642.5,0.2336,383.688
1647.5,0.2345,386.33875
1652.5,0.2335,385.85875000000004
