w.440,r.440,w.500,r.500,w.675,r.675,w.870,r.870,w.1020,r.1020,w.1640,r.1640,w.2130,r.2130
440.65707,0.8559775303,0.0,0.0,0.0,0.0,870.65707,0.99091284624,1020.54756,0.9933187239,1634.66083,0.96624330762,0,0
440.69462,0.8538365597,0.0,0.0,0.0,0.0,870.69462,0.99305334451,1020.57885,0.9933094899,1634.72716,0.96655243053,0,0
440.73217,0.8519574778,0.0,0.0,0.0,0.0,870.73217,0.99388707811,1020.61014,0.9933124456,1634.79349,0.96848766025,0,0
440.76971,0.850343374,0.0,0.0,0.0,0.0,870.76971,0.99301684449,1020.64143,0.9933264546,1634.85982,0.96982446812,0,0
440.80726,0.8490009831,0.0,0.0,0.0,0.0,870.80726,0.99113953634,1020.67272,0.9933503793,1634.92616,0.97273632586,0,0
440.84481,0.8479432362,0.0,0.0,0.0,0.0,870.84481,0.98982687511,1020.70401,0.9933830834,1634.99249,0.97495100238,0,0
440.88235,0.8471005128,0.0,0.0,0.0,0.0,870.88235,0.99078584811,1020.73529,0.99342343,1635.05882,0.97292502641,0,0
440.9199,0.8464025771,0.0,0.0,0.0,0.0,870.9199,0.99135769041,1020.76658,0.9934784064,1635.12516,0.97142888121,0,0
440.95745,0.8458431752,0.0,0.0,0.0,0.0,870.95745,0.9911729057,1020.79787,0.9935451974,1635.19149,0.97072735285,0,0
440.99499,0.845466439,0.0,0.0,0.0,0.0,870.99499,0.99195208938,1020.82916,0.9936140095,1635.25782,0.96871300391,0,0
441.03254,0.8453558061,0.0,0.0,0.0,0.0,871.03254,0.99409517045,1020.86045,0.9936822578,1635.32416,0.97071814274,0,0
441.07009,0.845406381,0.0,0.0,0.0,0.0,871.07009,0.99483185928,1020.89174,0.9937473577,1635.39049,0.97222904671,0,0
441.10763,0.8455330926,0.0,0.0,0.0,0.0,871.10763,0.99405393083,1020.92303,0.993806723,1635.45682,0.97291814385,0,0
441.14518,0.8456514552,0.0,0.0,0.0,0.0,871.14518,0.99392198407,1020.95432,0.9938577679,1635.52315,0.97528156231,0,0
441.18273,0.8458197955,0.0,0.0,0.0,0.0,871.18273,0.99541803925,1020.98561,0.9938979054,1635.58949,0.97518384669,0,0
441.22028,0.8460320708,0.0,0.0,0.0,0.0,871.22028,0.99665573802,1021.0169,0.9939130578,1635.65582,0.97504645738,0,0
